Date,Channel,Data Source,Campaign Name,Spend,Impressions,Clicks,Video Views,Conversions
01/09/2025,Paid Search,Amazon ads,Wonderland Drive,1496.24,31925,2193,0,185
01/09/2025,Paid Search,Amazon ads,Eco-Forward Initiative,2488.45,41770,3525,0,164
01/09/2025,Organic,Google organic,Eco-Forward Initiative,0,17327,636,0,58
01/09/2025,Paid Search,Google ads,Global Reach Outreach,4637.38,27909,3422,0,161
01/09/2025,Programmatic,StackAdapt,Global Reach Outreach,4251.73,780734,440,28954,11
01/09/2025,Paid Social,Facebook ads,Spark Frenzy,1932.4,87987,2255,15772,71
01/09/2025,Organic,Direct Traffic,Spark Frenzy,0,8649,942,0,116
01/09/2025,Paid Social,Linkedin ads,Back to Basics,3355.79,76499,725,23253,52
01/09/2025,Programmatic,Google Display & Video 360,Back to Basics,2935.91,776917,689,27107,11
01/09/2025,Paid Search,Amazon ads,Loyalty First,1500.5,32334,4594,0,100
01/09/2025,Paid Social,Facebook ads,Loyalty First,4392.9,75367,1230,27780,88
01/10/2025,Programmatic,StackAdapt,Win-Back Outreach,4544.64,411073,577,11852,16
01/10/2025,Organic,Google organic,Win-Back Outreach,0,17815,1250,0,124
01/10/2025,Programmatic,Google Display & Video 360,Wonderland Drive,2255.9,613264,454,34704,19
01/10/2025,Paid Search,Amazon ads,Wonderland Drive,4879.17,10545,3894,0,107
01/10/2025,Paid Social,Facebook ads,Elite Rewards Program,3117.37,73078,2300,8718,41
01/10/2025,Programmatic,Google Display & Video 360,Back to Basics,3221.35,244731,444,47852,19
01/10/2025,Paid Social,Facebook ads,Spark Frenzy,2254.98,136601,594,5988,40
01/10/2025,Organic,Direct Traffic,Spark Frenzy,0,5656,1939,0,41
01/11/2025,Programmatic,StackAdapt,Win-Back Outreach,2163.33,682757,282,34567,13
01/11/2025,Organic,Google organic,Win-Back Outreach,0,5386,904,0,121
01/11/2025,Paid Search,Amazon ads,Eco-Forward Initiative,3791.14,49131,2303,0,53
01/11/2025,Organic,Google organic,Eco-Forward Initiative,0,14955,1841,0,36
01/11/2025,Paid Social,Linkedin ads,Back to Basics,2749.41,105591,2259,6022,42
01/11/2025,Paid Search,Google ads,Global Reach Outreach,1027.25,17903,3189,0,84
01/11/2025,Programmatic,StackAdapt,Global Reach Outreach,1163.38,568551,760,45052,16
01/11/2025,Organic,Direct Traffic,Spark Frenzy,0,17174,517,0,37
01/11/2025,Paid Search,Amazon ads,Loyalty First,3577.87,39916,4586,0,104
01/11/2025,Paid Social,Facebook ads,Loyalty First,4514.37,88336,2293,15460,75
01/12/2025,Paid Social,Linkedin ads,Back to Basics,3638.29,73983,563,10522,91
01/12/2025,Programmatic,Google Display & Video 360,Back to Basics,2782.51,423504,708,34500,12
01/12/2025,Paid Social,Facebook ads,Spark Frenzy,4868.39,118576,1332,28684,47
01/12/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4380.79,12511,1294,0,121
01/12/2025,Organic,Google organic,Eco-Forward Initiative,0,14911,1807,0,75
01/12/2025,Organic,Direct Traffic,Elite Rewards Program,0,6257,1874,0,73
01/12/2025,Paid Search,Amazon ads,Loyalty First,4996.24,31030,3077,0,177
01/12/2025,Paid Social,Facebook ads,Loyalty First,1247.21,143460,2348,28030,34
01/12/2025,Programmatic,StackAdapt,Win-Back Outreach,4710.33,652188,310,23530,18
01/12/2025,Organic,Google organic,Win-Back Outreach,0,8019,1964,0,57
01/13/2025,Organic,Direct Traffic,Elite Rewards Program,0,9383,1145,0,99
01/13/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4553.58,599622,459,46510,14
01/13/2025,Paid Search,Amazon ads,Loyalty First,3636.28,22073,4020,0,173
01/13/2025,Paid Social,Facebook ads,Loyalty First,3340.21,112795,1205,23581,79
01/13/2025,Programmatic,StackAdapt,Win-Back Outreach,4428.8,489712,229,11296,18
01/13/2025,Paid Social,Facebook ads,Spark Frenzy,4846.27,125781,2252,24488,60
01/13/2025,Organic,Direct Traffic,Spark Frenzy,0,10589,1825,0,133
01/13/2025,Programmatic,Google Display & Video 360,Back to Basics,1314.2,531853,720,28210,6
01/13/2025,Paid Search,Google ads,Global Reach Outreach,1979.91,44066,4427,0,183
01/13/2025,Programmatic,StackAdapt,Global Reach Outreach,1447.82,237482,312,49261,14
01/13/2025,Paid Search,Amazon ads,Eco-Forward Initiative,3484.95,49240,1205,0,151
01/13/2025,Organic,Google organic,Eco-Forward Initiative,0,19481,645,0,63
01/14/2025,Paid Search,Google ads,Global Reach Outreach,3351.99,39979,4837,0,62
01/14/2025,Programmatic,StackAdapt,Global Reach Outreach,1391.95,351699,265,11461,16
01/14/2025,Programmatic,StackAdapt,Win-Back Outreach,2787.86,634219,751,49797,16
01/14/2025,Organic,Google organic,Win-Back Outreach,0,7893,1473,0,133
01/14/2025,Paid Search,Amazon ads,Eco-Forward Initiative,1098.61,41551,1891,0,68
01/14/2025,Programmatic,Google Display & Video 360,Wonderland Drive,3440.71,596904,512,44011,17
01/14/2025,Paid Search,Amazon ads,Wonderland Drive,2019.79,21463,4130,0,135
01/14/2025,Paid Social,Linkedin ads,Back to Basics,2210.84,74462,696,26289,58
01/14/2025,Paid Social,Facebook ads,Spark Frenzy,2292.68,80464,2467,28515,83
01/14/2025,Organic,Direct Traffic,Spark Frenzy,0,12433,767,0,135
01/14/2025,Organic,Direct Traffic,Elite Rewards Program,0,16837,1869,0,148
01/14/2025,Paid Social,Facebook ads,Elite Rewards Program,2279.58,51294,1809,21291,52
01/15/2025,Paid Social,Linkedin ads,Back to Basics,4530.92,58938,2226,14567,58
01/15/2025,Programmatic,Google Display & Video 360,Back to Basics,1164.31,451053,625,46063,12
01/15/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4376.18,620877,263,36980,14
01/15/2025,Paid Search,Amazon ads,Wonderland Drive,2386.56,40911,1623,0,101
01/15/2025,Paid Search,Google ads,Global Reach Outreach,2690.1,31356,2431,0,122
01/15/2025,Organic,Google organic,Win-Back Outreach,0,13002,587,0,81
01/15/2025,Paid Search,Amazon ads,Loyalty First,1556.01,40610,3751,0,147
01/15/2025,Paid Social,Facebook ads,Loyalty First,1052.84,97860,910,13968,27
01/16/2025,Programmatic,StackAdapt,Win-Back Outreach,4890.1,358202,393,30988,15
01/16/2025,Organic,Google organic,Win-Back Outreach,0,10680,759,0,114
01/16/2025,Paid Social,Linkedin ads,Back to Basics,1303.17,124201,826,29636,66
01/16/2025,Programmatic,Google Display & Video 360,Back to Basics,4882.18,671036,611,19250,20
01/16/2025,Paid Search,Google ads,Global Reach Outreach,1189.87,15003,4816,0,161
01/16/2025,Programmatic,StackAdapt,Global Reach Outreach,3531.12,345530,739,41044,5
01/16/2025,Programmatic,Google Display & Video 360,Wonderland Drive,2246.09,668905,331,14747,7
01/16/2025,Paid Search,Amazon ads,Wonderland Drive,1062.23,36618,2926,0,84
01/16/2025,Organic,Direct Traffic,Spark Frenzy,0,5208,1308,0,102
01/16/2025,Paid Search,Amazon ads,Eco-Forward Initiative,2059.28,41440,3539,0,106
01/16/2025,Organic,Google organic,Eco-Forward Initiative,0,7589,661,0,114
01/16/2025,Organic,Direct Traffic,Elite Rewards Program,0,15082,1030,0,102
01/16/2025,Paid Social,Facebook ads,Elite Rewards Program,4551.19,149453,628,6590,57
01/16/2025,Paid Search,Amazon ads,Loyalty First,4208.08,23594,3769,0,127
01/16/2025,Paid Social,Facebook ads,Loyalty First,4533.45,145680,1119,23587,92
01/17/2025,Paid Social,Linkedin ads,Back to Basics,2334.36,121330,1313,21538,29
01/17/2025,Paid Social,Facebook ads,Spark Frenzy,2604.42,68790,1661,6300,98
01/17/2025,Organic,Direct Traffic,Spark Frenzy,0,7856,808,0,94
01/17/2025,Paid Search,Amazon ads,Loyalty First,3744.95,20452,4439,0,95
01/17/2025,Paid Social,Facebook ads,Loyalty First,4232.56,146374,2155,7863,71
01/17/2025,Programmatic,StackAdapt,Win-Back Outreach,3262.79,578453,608,34566,11
01/17/2025,Organic,Google organic,Win-Back Outreach,0,14492,1326,0,134
01/17/2025,Programmatic,StackAdapt,Global Reach Outreach,2052.78,467781,283,12230,8
01/18/2025,Paid Social,Linkedin ads,Back to Basics,2797.57,137982,1887,24519,91
01/18/2025,Programmatic,Google Display & Video 360,Back to Basics,1639.4,398655,644,38434,14
01/18/2025,Paid Social,Facebook ads,Elite Rewards Program,1825.36,137463,2161,6980,64
01/18/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4191.4,14934,2193,0,84
01/18/2025,Organic,Google organic,Eco-Forward Initiative,0,11471,821,0,58
01/18/2025,Paid Social,Facebook ads,Spark Frenzy,1339.61,91936,1200,13770,73
01/18/2025,Organic,Direct Traffic,Spark Frenzy,0,10837,986,0,31
01/18/2025,Paid Search,Amazon ads,Loyalty First,2575.5,46153,2056,0,119
01/18/2025,Programmatic,Google Display & Video 360,Wonderland Drive,3387.53,417264,563,23958,16
01/18/2025,Paid Search,Amazon ads,Wonderland Drive,3338.99,15222,2424,0,92
01/18/2025,Paid Search,Google ads,Global Reach Outreach,4107.36,30436,4274,0,103
01/18/2025,Programmatic,StackAdapt,Global Reach Outreach,2175.84,293101,658,40808,6
01/19/2025,Paid Search,Amazon ads,Eco-Forward Initiative,1492.94,33031,2135,0,50
01/19/2025,Organic,Google organic,Eco-Forward Initiative,0,17578,1763,0,41
01/19/2025,Paid Search,Google ads,Global Reach Outreach,1989.72,35055,4387,0,139
01/19/2025,Programmatic,StackAdapt,Global Reach Outreach,3726.53,224860,648,48031,9
01/19/2025,Paid Search,Amazon ads,Wonderland Drive,3567.33,27739,3936,0,170
01/19/2025,Programmatic,Google Display & Video 360,Back to Basics,1654.14,721122,325,41149,14
01/19/2025,Paid Social,Facebook ads,Spark Frenzy,3359.15,59599,2214,20112,27
01/19/2025,Organic,Direct Traffic,Spark Frenzy,0,12917,805,0,122
01/20/2025,Paid Search,Google ads,Global Reach Outreach,3285.65,10071,4139,0,105
01/20/2025,Programmatic,StackAdapt,Global Reach Outreach,4529.15,431591,634,48840,13
01/20/2025,Paid Search,Amazon ads,Eco-Forward Initiative,3148.72,36954,1553,0,81
01/20/2025,Paid Social,Facebook ads,Spark Frenzy,4146.15,141549,796,5716,34
01/20/2025,Organic,Direct Traffic,Spark Frenzy,0,8957,1726,0,66
01/20/2025,Programmatic,StackAdapt,Win-Back Outreach,1445.81,565993,612,41815,11
01/20/2025,Organic,Google organic,Win-Back Outreach,0,11800,1878,0,46
01/20/2025,Organic,Direct Traffic,Elite Rewards Program,0,15474,1289,0,51
01/20/2025,Paid Social,Facebook ads,Elite Rewards Program,2298.17,56346,1668,24524,63
01/20/2025,Programmatic,Google Display & Video 360,Back to Basics,3851.32,510858,443,14251,19
01/21/2025,Paid Search,Google ads,Global Reach Outreach,3454.17,39289,4756,0,98
01/21/2025,Programmatic,StackAdapt,Global Reach Outreach,4687.9,577283,224,24472,17
01/21/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4286.89,401096,334,25667,18
01/21/2025,Programmatic,StackAdapt,Win-Back Outreach,3431.75,530611,552,24100,11
01/21/2025,Organic,Google organic,Win-Back Outreach,0,9894,744,0,54
01/21/2025,Paid Search,Amazon ads,Loyalty First,2945.93,44496,2052,0,119
01/21/2025,Paid Social,Facebook ads,Loyalty First,1396.77,129056,2193,15277,75
01/21/2025,Organic,Direct Traffic,Elite Rewards Program,0,15016,1067,0,74
01/21/2025,Paid Search,Amazon ads,Eco-Forward Initiative,2668.12,48165,3489,0,85
01/21/2025,Organic,Google organic,Eco-Forward Initiative,0,13563,1972,0,124
01/21/2025,Paid Social,Linkedin ads,Back to Basics,4786.9,102624,2447,22201,47
01/21/2025,Programmatic,Google Display & Video 360,Back to Basics,1902.96,641844,671,37591,11
01/22/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4016.58,31038,2775,0,80
01/22/2025,Organic,Google organic,Eco-Forward Initiative,0,13030,1404,0,114
01/22/2025,Organic,Direct Traffic,Elite Rewards Program,0,16396,1408,0,84
01/22/2025,Paid Social,Facebook ads,Elite Rewards Program,4089.42,104902,747,18763,49
01/22/2025,Programmatic,Google Display & Video 360,Back to Basics,2426.81,370378,545,46708,11
01/22/2025,Paid Search,Google ads,Global Reach Outreach,1274.01,33440,1915,0,194
01/22/2025,Programmatic,StackAdapt,Global Reach Outreach,4625.96,264667,444,22526,14
01/22/2025,Programmatic,StackAdapt,Win-Back Outreach,3385.81,450848,574,49962,5
01/22/2025,Organic,Google organic,Win-Back Outreach,0,8780,1564,0,84
01/23/2025,Paid Search,Amazon ads,Loyalty First,2272.57,15973,2347,0,193
01/23/2025,Paid Social,Facebook ads,Loyalty First,2870.23,82970,1965,9868,33
01/23/2025,Programmatic,StackAdapt,Win-Back Outreach,2608.44,596475,472,37812,17
01/23/2025,Organic,Google organic,Win-Back Outreach,0,11291,1053,0,44
01/23/2025,Paid Search,Google ads,Global Reach Outreach,3458.61,31035,4273,0,77
01/23/2025,Organic,Direct Traffic,Elite Rewards Program,0,9100,966,0,40
01/23/2025,Paid Social,Facebook ads,Elite Rewards Program,2774.78,53567,704,6354,93
01/23/2025,Programmatic,Google Display & Video 360,Wonderland Drive,3381.4,727780,405,43070,7
01/23/2025,Paid Search,Amazon ads,Wonderland Drive,1602.6,35038,4986,0,190
01/23/2025,Paid Social,Facebook ads,Spark Frenzy,3626.41,80310,2178,23707,42
01/24/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4223.55,612518,742,11040,12
01/24/2025,Paid Search,Amazon ads,Wonderland Drive,1223.04,14286,4836,0,153
01/24/2025,Paid Social,Facebook ads,Spark Frenzy,4829.29,63946,878,7795,48
01/24/2025,Paid Search,Amazon ads,Loyalty First,4953.96,31562,4045,0,151
01/24/2025,Paid Social,Facebook ads,Loyalty First,2273.89,77995,1433,9545,40
01/24/2025,Paid Search,Google ads,Global Reach Outreach,1833.94,19832,4173,0,57
01/24/2025,Paid Search,Amazon ads,Eco-Forward Initiative,1756.05,49368,1406,0,66
01/24/2025,Organic,Google organic,Eco-Forward Initiative,0,17529,1966,0,71
01/25/2025,Paid Search,Google ads,Global Reach Outreach,1083.29,26695,3324,0,122
01/25/2025,Programmatic,StackAdapt,Global Reach Outreach,3250.33,379181,218,35020,20
01/25/2025,Organic,Google organic,Win-Back Outreach,0,8272,1712,0,149
01/25/2025,Programmatic,Google Display & Video 360,Back to Basics,1365.55,433139,502,34159,19
01/25/2025,Programmatic,Google Display & Video 360,Wonderland Drive,1921.2,667644,240,37127,8
01/25/2025,Paid Search,Amazon ads,Wonderland Drive,3179.09,40189,4468,0,115
01/25/2025,Paid Social,Facebook ads,Spark Frenzy,1185.1,53405,1846,7295,54
01/25/2025,Paid Social,Facebook ads,Elite Rewards Program,3926.97,123385,1668,29895,29
01/25/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4066.69,38286,4112,0,87
01/25/2025,Organic,Google organic,Eco-Forward Initiative,0,6262,824,0,134
01/26/2025,Paid Search,Amazon ads,Eco-Forward Initiative,3476.18,29043,1754,0,177
01/26/2025,Organic,Google organic,Eco-Forward Initiative,0,18335,935,0,74
01/26/2025,Paid Search,Amazon ads,Wonderland Drive,1375.54,45099,3029,0,50
01/26/2025,Paid Social,Facebook ads,Elite Rewards Program,4066.31,73713,2352,15682,32
01/26/2025,Programmatic,StackAdapt,Win-Back Outreach,3722.19,647738,719,48884,19
01/26/2025,Paid Search,Google ads,Global Reach Outreach,2037.18,46445,4609,0,199
01/26/2025,Programmatic,StackAdapt,Global Reach Outreach,2785.83,238466,299,40785,14
01/26/2025,Paid Social,Facebook ads,Spark Frenzy,2326.35,117184,2264,18303,43
01/26/2025,Paid Social,Linkedin ads,Back to Basics,1337.33,141833,1516,11219,45
01/26/2025,Programmatic,Google Display & Video 360,Back to Basics,1405.7,544836,574,36944,19
01/26/2025,Paid Search,Amazon ads,Loyalty First,4335.48,29271,1847,0,113
01/27/2025,Paid Social,Linkedin ads,Back to Basics,4541.82,63733,2206,28043,49
01/27/2025,Organic,Google organic,Eco-Forward Initiative,0,19736,770,0,107
01/27/2025,Paid Search,Amazon ads,Loyalty First,3684.8,30869,4511,0,63
01/27/2025,Paid Social,Facebook ads,Loyalty First,4917.14,115323,2202,25034,67
01/27/2025,Paid Social,Facebook ads,Spark Frenzy,4887.69,125913,1877,22973,89
01/27/2025,Organic,Direct Traffic,Spark Frenzy,0,19533,687,0,104
01/27/2025,Programmatic,StackAdapt,Win-Back Outreach,3274.41,546143,707,19495,13
01/27/2025,Organic,Google organic,Win-Back Outreach,0,10444,517,0,133
01/28/2025,Paid Social,Linkedin ads,Back to Basics,2907.21,100020,2400,29984,95
01/28/2025,Programmatic,Google Display & Video 360,Back to Basics,2671.65,625642,325,43733,18
01/28/2025,Paid Search,Amazon ads,Loyalty First,3831.24,41204,4504,0,115
01/28/2025,Paid Social,Facebook ads,Loyalty First,3721.21,96848,2220,17169,23
01/28/2025,Organic,Direct Traffic,Spark Frenzy,0,6858,1343,0,141
01/28/2025,Organic,Direct Traffic,Elite Rewards Program,0,6142,749,0,67
01/28/2025,Paid Social,Facebook ads,Elite Rewards Program,1866.16,113700,1423,12152,23
01/28/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4072.26,589141,663,38684,13
01/28/2025,Paid Search,Google ads,Global Reach Outreach,1948.82,23412,4332,0,133
01/28/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4768.33,37317,2651,0,98
01/28/2025,Organic,Google organic,Eco-Forward Initiative,0,13562,1149,0,64
01/29/2025,Paid Search,Amazon ads,Eco-Forward Initiative,2479.81,44280,4798,0,114
01/29/2025,Organic,Google organic,Eco-Forward Initiative,0,5982,1270,0,112
01/29/2025,Programmatic,StackAdapt,Win-Back Outreach,1472.06,637219,348,11484,10
01/29/2025,Organic,Google organic,Win-Back Outreach,0,10634,1259,0,146
01/29/2025,Paid Search,Google ads,Global Reach Outreach,4122.32,27410,1001,0,189
01/29/2025,Programmatic,StackAdapt,Global Reach Outreach,4280.76,213192,388,49598,20
01/29/2025,Paid Social,Facebook ads,Loyalty First,3321.31,70718,970,19897,83
01/29/2025,Organic,Direct Traffic,Spark Frenzy,0,5544,1602,0,38
01/30/2025,Paid Search,Amazon ads,Loyalty First,3177.17,47043,4690,0,67
01/30/2025,Paid Social,Facebook ads,Loyalty First,1455.05,132355,2420,13976,93
01/30/2025,Paid Search,Google ads,Global Reach Outreach,2541.49,17233,2763,0,157
01/30/2025,Programmatic,StackAdapt,Global Reach Outreach,3117.38,266996,250,10062,13
01/30/2025,Programmatic,StackAdapt,Win-Back Outreach,3798.96,270575,317,13706,11
01/30/2025,Organic,Google organic,Win-Back Outreach,0,19486,651,0,84
01/30/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4015.52,37615,2974,0,107
01/30/2025,Organic,Google organic,Eco-Forward Initiative,0,17931,1943,0,99
01/30/2025,Paid Social,Facebook ads,Spark Frenzy,4651.67,97442,1683,8579,77
01/30/2025,Organic,Direct Traffic,Spark Frenzy,0,9414,698,0,52
01/31/2025,Paid Search,Amazon ads,Eco-Forward Initiative,2381.83,32629,2887,0,58
01/31/2025,Organic,Google organic,Eco-Forward Initiative,0,12976,1655,0,148
01/31/2025,Paid Social,Facebook ads,Spark Frenzy,4725.1,128883,2387,28126,51
01/31/2025,Organic,Direct Traffic,Elite Rewards Program,0,13993,956,0,135
01/31/2025,Paid Social,Facebook ads,Elite Rewards Program,3552.46,98358,2008,16784,67
